Anthelmintic,CB4856,CX11314,DL238,JU775,MY16,N2,CAS,CAS2,mol_wt,EnviroTox,"Daphnia EC50 (48h, mg/L)","Fish LC50 (96h, mg/L)"
Abamectin,0.0016 ± 1e-04,0.0011 ± 1e-04,0.0017 ± 1e-04,0.0013 ± 1e-04,9e-04 ± 1e-04,0.0015 ± 0,71751-41-2,71751-41-2,873.1,YES,,
Albendazole,0.6147 ± 0.1033,1.7831 ± 0.2408,0.3425 ± 0.0602,0.633 ± 0.1033,109.8385 ± 1.8866,0.5205 ± 0.0828,54965-21-8,54965-21-8,265.33,NO,0.024 [PPDB],86 (O. mykiss) [PPDB]
Benomyl,0.4234 ± 0.0892,1.3704 ± 0.2424,0.7825 ± 0.1364,0.5039 ± 0.108,36.773 ± 3.5012,1.1831 ± 0.1975,17804-35-2,17804-35-2,290.32,YES,,
Closantel,1.3907 ± 0.1653,0.4909 ± 0.0789,1.5538 ± 0.1953,0.6079 ± 0.0936,0.7476 ± 0.1125,0.7358 ± 0.1014,57808-65-8,57808-65-8,663.07,NO,Data doesn't exist,0.017 (O. mykiss) [MSDS]
Cry5B,0.2979 ± 0.1249,1.6593 ± 0.4213,0.1804 ± 0.0829,3.6799 ± 0.7222,0.3896 ± 0.1494,1.7178 ± 0.3852,NA,,479.6,NO,Data doesn't exist,Data doesn't exist
Derquantel,16.8662 ± 3.4992,17.0847 ± 3.4569,15.7599 ± 3.1218,11.194 ± 2.801,16.6971 ± 3.7218,26.8163 ± 4.1677,NA,187865-22-1,479.6,NO,21.17 [PPDB],57.7 (O. mykiss) [PPDB]
Diethylcarbamazine,315.4501 ± 32.3681,237.3813 ± 26.0249,283.8098 ± 26.3102,273.8262 ± 31.3646,157.966 ± 17.2921,294.6744 ± 29.8614,90-89-1,1642-54-2,391.42,NO,Data doesn't exist,Data doesn't exist
Doramectin,0.0053 ± 1e-04,0.0034 ± 2e-04,0.0046 ± 1e-04,0.0045 ± 1e-04,0.0036 ± 1e-04,0.0051 ± 1e-04,117704-25-3,,899.11,NO,"0.0001 [PPDB, MSDS]",0.0051 (O. mykiss) [PPDB];  0.011 (L. macrochirus) [MSDS]
Emodepside,0.032 ± 0.0027,0.0622 ± 0.0042,0.0514 ± 0.0039,0.0315 ± 0.0026,0.0522 ± 0.0037,0.0607 ± 0.0041,NA,155030-63-0,1119.4,NO,0.0021 [MoleOnline SDS],>0.01 [MoleOnline SDS]
Eprinomectin,0.0365 ± 0.0029,0.0367 ± 0.0024,0.0552 ± 0.003,0.0409 ± 0.0025,0.0327 ± 0.0023,0.0436 ± 0.0029,123997-26-2,,914.13,NO,0.00037; 0.00045 [MSDS],0.37 (L. macrochrius); 1.2 (O. mykiss) [MSDS]
Fenbendazole,0.1175 ± 0.0395,2.2557 ± 0.4481,0.3759 ± 0.0967,0.6236 ± 0.1506,24.2029 ± 3.0107,0.2868 ± 0.0758,43210-67-9,,299.3,NO,0.0088 [MSDS]; 0.0165 [PPDB],0.04 (O. mykiss) [PPDB]
